Positions of every atom, in reduced units, for every time step
-4.91, 0.00, -7.38
-2.45, -2.45, -7.40
-2.46, -0.00, -4.92
0.00, -2.46, -4.91
-0.00, -0.00, -7.40
2.46, -2.47, -7.40
2.47, -0.01, -4.93
4.94, -2.46, -4.92
4.92, 0.00, -7.39
-7.39, 2.46, -7.38
-7.38, 4.91, -4.93
-4.91, 2.46, -4.93
-4.92, 4.94, -7.40
-2.47, 2.46, -7.39
-2.47, 4.94, -4.91
0.01, 2.46, -4.92
0.01, 4.92, -7.39
2.47, 2.47, -7.39
2.45, 4.91, -4.93
4.93, 2.47, -4.92
4.93, 4.93, -7.39
-7.39, -7.39, -2.46
-7.38, -4.92, -0.00
-4.92, -7.41, -0.00
-4.92, -4.91, -2.46
-2.47, -7.40, -2.48
-2.45, -4.91, -0.01
0.01, -7.39, -0.00
-0.00, -4.93, -2.47
2.47, -7.38, -2.46
2.45, -4.92, -0.00
4.92, -7.37, 0.00
4.94, -4.93, -2.46
-7.40, -2.45, -2.46
-7.39, -0.00, 0.01
-4.92, -2.46, -0.00
-4.92, 0.02, -2.46
-2.47, -2.48, -2.45
-2.47, 0.00, 0.00
-0.00, -2.46, -0.00
0.00, 0.00, -2.47
2.46, -2.45, -2.45
2.46, -0.00, 0.00
4.94, -2.45, -0.01
4.92, 0.02, -2.48
-7.40, 2.47, -2.47
-7.39, 4.92, -0.00
-4.93, 2.46, 0.01
-4.92, 4.92, -2.46
-2.48, 2.47, -2.48
-2.46, 4.94, 0.01
-0.01, 2.45, -0.01
-0.01, 4.92, -2.44
2.46, 2.44, -2.46
2.48, 4.94, 0.00
4.93, 2.47, -0.01
4.92, 4.92, -2.47
-7.39, -7.39, 2.47
-7.38, -4.93, 4.92
-4.93, -7.40, 4.92
-4.93, -4.92, 2.46
-2.46, -7.38, 2.46
-2.47, -4.92, 4.94
0.00, -7.40, 4.94
0.01, -4.93, 2.47
2.47, -7.39, 2.46
2.45, -4.93, 4.93
4.93, -7.39, 4.92
4.92, -4.93, 2.46
-7.39, -2.47, 2.47
-7.38, -0.01, 4.94
-4.92, -2.46, 4.92
-4.93, 0.00, 2.46
-2.47, -2.45, 2.46
-2.47, -0.00, 4.93
0.01, -2.47, 4.92
-0.01, -0.01, 2.45
2.47, -2.47, 2.46
2.46, 0.02, 4.93
4.91, -2.46, 4.93
4.92, 0.00, 2.47
-7.39, 2.48, 2.47
-7.39, 4.92, 4.93
-4.91, 2.45, 4.92
-4.93, 4.92, 2.45
-2.47, 2.44, 2.47
-2.46, 4.92, 4.92
-0.00, 2.47, 4.94
0.01, 4.92, 2.46
2.46, 2.45, 2.47
2.46, 4.92, 4.92
4.92, 2.46, 4.93
4.94, 4.95, 2.46
 
-7.41, -7.39, -7.39
-7.40, -4.89, -4.92
-4.91, -7.39, -4.90
-4.94, -4.90, -7.38
-2.47, -7.40, -7.38
-2.46, -4.93, -4.93
0.01, -7.40, -4.93
-0.02, -4.91, -7.40
2.48, -7.39, -7.40
2.47, -4.92, -4.94
4.90, -7.41, -4.91
4.91, -4.94, -7.40
-7.41, -2.45, -7.39
-7.39, -0.00, -4.93
-4.93, -2.46, -4.92
-4.91, 0.00, -7.37
-2.44, -2.45, -7.40
-2.46, -0.00, -4.92
0.00, -2.46, -4.91
-0.00, -0.00, -7.40
2.46, -2.48, -7.40
2.48, -0.01, -4.93
4.94, -2.46, -4.92
4.92, 0.00, -7.39
-7.39, 2.45, -7.38
-7.37, 4.91, -4.93
-4.90, 2.45, -4.93
-4.92, 4.94, -7.40
-2.48, 2.46, -7.40
-2.47, 4.95, -4.90
0.01, 2.45, -4.92
0.01, 4.92, -7.39
2.47, 2.48, -7.39
2.44, 4.91, -4.93
4.93, 2.47, -4.92
4.94, 4.93, -7.38
-7.40, -7.38, -2.46
-7.37, -4.92, -0.00
-4.92, -7.41, -0.01
-4.92, -4.91, -2.46
-2.48, -7.40, -2.48
-2.44, -4.91, -0.01
0.02, -7.38, -0.01
-0.00, -4.93, -2.47
2.47, -7.38, -2.46
2.44, -4.91, -0.00
4.91, -7.37, 0.00
4.95, -4.94, -2.46
-7.40, -2.44, -2.46
-7.39, -0.00, 0.01
-4.92, -2.46, -0.00
-4.91, 0.03, -2.46
-2.47, -2.48, -2.44
-2.48, 0.00, 0.00
-0.00, -2.46, -0.01
0.01, 0.00, -2.48
2.46, -2.44, -2.44
2.46, -0.00, 0.01
4.95, -2.45, -0.01
4.91, 0.02, -2.48
-7.41, 2.47, -2.47
-7.39, 4.92, -0.00
-4.93, 2.46, 0.01
-4.92, 4.92, -2.45
-2.48, 2.48, -2.49
-2.46, 4.95, 0.01
-0.01, 2.45, -0.02
-0.02, 4.91, -2.43
2.46, 2.43, -2.45
2.49, 4.95, 0.01
4.94, 2.47, -0.01
4.92, 4.92, -2.47
-7.39, -7.40, 2.47
-7.38, -4.93, 4.92
-4.93, -7.41, 4.92
-4.93, -4.91, 2.46
-2.46, -7.38, 2.46
-2.47, -4.92, 4.94
0.00, -7.41, 4.95
0.01, -4.93, 2.47
2.47, -7.40, 2.46
2.44, -4.93, 4.93
4.94, -7.39, 4.91
4.92, -4.93, 2.45
-7.38, -2.47, 2.47
-7.38, -0.01, 4.95
-4.92, -2.46, 4.92
-4.93, 0.00, 2.46
-2.47, -2.45, 2.45
-2.48, -0.01, 4.92
0.02, -2.47, 4.91
-0.01, -0.02, 2.44
2.47, -2.47, 2.46
2.46, 0.03, 4.93
4.91, -2.45, 4.93
4.91, 0.00, 2.48
-7.39, 2.49, 2.48
-7.39, 4.91, 4.93
-4.90, 2.44, 4.92
-4.92, 4.91, 2.44
-2.48, 2.43, 2.48
-2.46, 4.91, 4.92
-0.00, 2.47, 4.94
0.01, 4.92, 2.46
2.46, 2.44, 2.48
2.46, 4.91, 4.92
4.92, 2.46, 4.93
4.94, 4.96, 2.45
 
-7.41, -7.39, -7.39
-7.41, -4.88, -4.91
-4.91, -7.40, -4.90
-4.95, -4.90, -7.37
-2.47, -7.40, -7.38
-2.45, -4.93, -4.94
0.01, -7.40, -4.93
-0.03, -4.91, -7.40
2.48, -7.39, -7.41
2.47, -4.92, -4.94
4.89, -7.41, -4.90
4.91, -4.95, -7.40
-7.42, -2.45, -7.40
-7.39, -0.01, -4.93
-4.93, -2.46, -4.92
-4.90, 0.01, -7.37
-2.43, -2.45, -7.40
-2.45, -0.00, -4.92
0.01, -2.47, -4.90
-0.01, -0.00, -7.40
2.46, -2.49, -7.40
2.48, -0.02, -4.93
4.95, -2.47, -4.92
4.92, 0.00, -7.39
-7.39, 2.45, -7.38
-7.36, 4.90, -4.94
-4.89, 2.45, -4.93
-4.92, 4.94, -7.41
-2.48, 2.46, -7.40
-2.47, 4.95, -4.89
0.01, 2.45, -4.92
0.01, 4.92, -7.39
2.47, 2.48, -7.39
2.43, 4.90, -4.93
4.94, 2.48, -4.92
4.94, 4.94, -7.38
-7.40, -7.38, -2.46
-7.37, -4.92, -0.00
-4.92, -7.42, -0.01
-4.91, -4.90, -2.47
-2.48, -7.40, -2.49
-2.44, -4.90, -0.02
0.03, -7.38, -0.01
-0.00, -4.94, -2.48
2.47, -7.38, -2.46
2.43, -4.91, -0.01
4.91, -7.36, 0.00
4.96, -4.94, -2.46
-7.41, -2.44, -2.46
-7.40, -0.00, 0.01
-4.91, -2.45, -0.00
-4.91, 0.03, -2.46
-2.47, -2.49, -2.43
-2.49, 0.00, 0.00
-0.00, -2.46, -0.01
0.01, 0.00, -2.48
2.46, -2.44, -2.43
2.45, -0.00, 0.01
4.95, -2.44, -0.01
4.91, 0.03, -2.49
-7.41, 2.47, -2.48
-7.39, 4.92, -0.00
-4.92, 2.46, 0.01
-4.91, 4.91, -2.45
-2.49, 2.48, -2.49
-2.46, 4.95, 0.01
-0.01, 2.44, -0.02
-0.02, 4.91, -2.41
2.46, 2.42, -2.45
2.50, 4.95, 0.01
4.94, 2.47, -0.01
4.92, 4.91, -2.48
-7.39, -7.40, 2.47
-7.37, -4.93, 4.92
-4.93, -7.42, 4.91
-4.93, -4.91, 2.47
-2.46, -7.37, 2.46
-2.47, -4.92, 4.95
0.00, -7.42, 4.95
0.02, -4.93, 2.48
2.47, -7.40, 2.46
2.44, -4.93, 4.93
4.94, -7.39, 4.91
4.92, -4.93, 2.45
-7.38, -2.47, 2.47
-7.38, -0.01, 4.95
-4.92, -2.47, 4.92
-4.93, 0.01, 2.45
-2.47, -2.44, 2.45
-2.48, -0.01, 4.92
0.02, -2.47, 4.91
-0.01, -0.02, 2.43
2.47, -2.48, 2.46
2.45, 0.03, 4.93
4.90, -2.45, 4.93
4.91, 0.01, 2.48
-7.39, 2.49, 2.48
-7.39, 4.91, 4.93
-4.90, 2.44, 4.92
-4.92, 4.91, 2.43
-2.49, 2.42, 2.48
-2.46, 4.91, 4.91
-0.00, 2.47, 4.95
0.01, 4.92, 2.46
2.46, 2.44, 2.48
2.46, 4.91, 4.92
4.91, 2.46, 4.93
4.95, 4.97, 2.45
 
-7.42, -7.39, -7.39
-7.41, -4.87, -4.91
-4.91, -7.40, -4.89
-4.95, -4.89, -7.37
-2.47, -7.40, -7.38
-2.45, -4.94, -4.94
0.01, -7.41, -4.93
-0.04, -4.90, -7.41
2.49, -7.39, -7.41
2.47, -4.92, -4.95
4.89, -7.42, -4.90
4.90, -4.95, -7.40
-7.42, -2.45, -7.40
-7.39, -0.01, -4.94
-4.93, -2.46, -4.92
-4.90, 0.01, -7.37
-2.43, -2.44, -7.41
-2.45, -0.00, -4.91
0.01, -2.47, -4.90
-0.01, -0.00, -7.41
2.46, -2.49, -7.41
2.49, -0.02, -4.93
4.96, -2.47, -4.92
4.91, 0.01, -7.39
-7.39, 2.45, -7.38
-7.36, 4.90, -4.94
-4.89, 2.44, -4.93
-4.92, 4.95, -7.41
-2.49, 2.45, -7.41
-2.47, 4.96, -4.88
0.02, 2.45, -4.92
0.01, 4.91, -7.39
2.48, 2.49, -7.39
2.42, 4.90, -4.93
4.94, 2.48, -4.92
4.95, 4.94, -7.38
-7.40, -7.38, -2.45
-7.36, -4.92, -0.00
-4.92, -7.43, -0.01
-4.91, -4.89, -2.47
-2.49, -7.41, -2.50
-2.43, -4.90, -0.02
0.03, -7.38, -0.01
-0.00, -4.94, -2.48
2.47, -7.38, -2.46
2.42, -4.90, -0.01
4.90, -7.35, 0.00
4.97, -4.95, -2.46
-7.41, -2.43, -2.46
-7.40, -0.00, 0.02
-4.91, -2.45, -0.00
-4.90, 0.04, -2.46
-2.47, -2.50, -2.42
-2.49, 0.00, 0.00
-0.00, -2.46, -0.01
0.01, 0.00, -2.49
2.46, -2.43, -2.43
2.45, -0.00, 0.01
4.96, -2.43, -0.01
4.91, 0.04, -2.49
-7.42, 2.47, -2.48
-7.39, 4.92, -0.01
-4.92, 2.46, 0.02
-4.91, 4.91, -2.45
-2.49, 2.49, -2.50
-2.46, 4.96, 0.02
-0.01, 2.44, -0.03
-0.03, 4.90, -2.40
2.46, 2.41, -2.45
2.50, 4.96, 0.01
4.95, 2.47, -0.01
4.92, 4.91, -2.48
-7.39, -7.40, 2.47
-7.37, -4.93, 4.92
-4.93, -7.43, 4.91
-4.94, -4.91, 2.47
-2.46, -7.37, 2.46
-2.47, -4.91, 4.95
0.01, -7.42, 4.96
0.02, -4.93, 2.48
2.47, -7.40, 2.45
2.43, -4.93, 4.93
4.94, -7.39, 4.91
4.92, -4.93, 2.45
-7.38, -2.47, 2.47
-7.38, -0.02, 4.96
-4.92, -2.47, 4.91
-4.94, 0.01, 2.45
-2.48, -2.43, 2.45
-2.48, -0.01, 4.92
0.03, -2.47, 4.91
-0.02, -0.03, 2.42
2.48, -2.48, 2.46
2.45, 0.04, 4.93
4.89, -2.45, 4.93
4.91, 0.01, 2.48
-7.39, 2.50, 2.49
-7.40, 4.91, 4.93
-4.89, 2.43, 4.92
-4.92, 4.90, 2.42
-2.49, 2.41, 2.49
-2.46, 4.90, 4.91
-0.00, 2.47, 4.96
0.02, 4.92, 2.46
2.45, 2.43, 2.49
2.46, 4.90, 4.92
4.91, 2.46, 4.93
4.95, 4.98, 2.45
 
-7.43, -7.39, -7.40
-7.42, -4.86, -4.91
-4.90, -7.40, -4.88
-4.96, -4.88, -7.37
-2.47, -7.40, -7.38
-2.45, -4.94, -4.94
0.02, -7.41, -4.93
-0.05, -4.90, -7.41
2.49, -7.39, -7.42
2.47, -4.92, -4.95
4.88, -7.43, -4.89
4.90, -4.96, -7.40
-7.43, -2.45, -7.40
-7.39, -0.01, -4.94
-4.93, -2.46, -4.92
-4.89, 0.01, -7.36
-2.42, -2.44, -7.41
-2.45, -0.01, -4.91
0.01, -2.47, -4.89
-0.01, -0.00, -7.41
2.46, -2.50, -7.41
2.50, -0.03, -4.93
4.96, -2.47, -4.92
4.91, 0.01, -7.39
-7.39, 2.44, -7.37
-7.35, 4.89, -4.94
-4.88, 2.44, -4.93
-4.92, 4.95, -7.42
-2.49, 2.45, -7.41
-2.48, 4.97, -4.87
0.02, 2.44, -4.92
0.02, 4.91, -7.39
2.48, 2.49, -7.39
2.42, 4.89, -4.94
4.94, 2.48, -4.92
4.95, 4.94, -7.38
-7.40, -7.38, -2.45
-7.36, -4.91, -0.00
-4.92, -7.44, -0.01
-4.91, -4.89, -2.47
-2.49, -7.41, -2.51
-2.42, -4.89, -0.03
0.04, -7.38, -0.01
-0.01, -4.94, -2.48
2.47, -7.37, -2.46
2.42, -4.90, -0.01
4.90, -7.35, 0.01
4.98, -4.95, -2.46
-7.41, -2.43, -2.46
-7.40, -0.00, 0.02
-4.91, -2.45, -0.00
-4.90, 0.05, -2.46
-2.47, -2.51, -2.41
-2.50, 0.00, 0.00
-0.00, -2.46, -0.01
0.01, 0.00, -2.49
2.46, -2.42, -2.42
2.45, -0.00, 0.01
4.96, -2.43, -0.02
4.90, 0.05, -2.50
-7.42, 2.47, -2.48
-7.40, 4.92, -0.01
-4.92, 2.46, 0.02
-4.91, 4.91, -2.45
-2.50, 2.49, -2.51
-2.46, 4.97, 0.02
-0.02, 2.43, -0.03
-0.03, 4.90, -2.39
2.46, 2.40, -2.45
2.51, 4.97, 0.01
4.95, 2.48, -0.02
4.92, 4.91, -2.49
-7.39, -7.40, 2.48
-7.37, -4.93, 4.92
-4.93, -7.44, 4.91
-4.94, -4.90, 2.47
-2.46, -7.36, 2.45
-2.48, -4.91, 4.96
0.01, -7.43, 4.97
0.03, -4.93, 2.48
2.47, -7.41, 2.45
2.42, -4.93, 4.93
4.95, -7.39, 4.90
4.92, -4.93, 2.45
-7.38, -2.47, 2.47
-7.38, -0.02, 4.97
-4.92, -2.47, 4.91
-4.94, 0.01, 2.45
-2.48, -2.43, 2.45
-2.49, -0.01, 4.92
0.03, -2.47, 4.90
-0.02, -0.03, 2.42
2.48, -2.49, 2.46
2.45, 0.05, 4.93
4.89, -2.45, 4.93
4.90, 0.01, 2.49
-7.39, 2.51, 2.49
-7.40, 4.90, 4.93
-4.88, 2.42, 4.92
-4.92, 4.90, 2.41
-2.50, 2.40, 2.49
-2.46, 4.90, 4.91
-0.00, 2.47, 4.96
0.02, 4.92, 2.46
2.45, 2.42, 2.49
2.45, 4.90, 4.92
4.91, 2.47, 4.93
4.96, 4.99, 2.45
 
-7.43, -7.39, -7.40
-7.42, -4.84, -4.91
-4.90, -7.40, -4.88
-4.96, -4.87, -7.36
-2.47, -7.41, -7.38
-2.44, -4.94, -4.94
0.02, -7.42, -4.93
-0.05, -4.89, -7.41
2.50, -7.38, -7.43
2.48, -4.91, -4.95
4.87, -7.43, -4.88
4.90, -4.97, -7.41
-7.44, -2.44, -7.40
-7.39, -0.01, -4.94
-4.93, -2.46, -4.91
-4.89, 0.01, -7.36
-2.41, -2.43, -7.42
-2.45, -0.01, -4.91
0.01, -2.47, -4.88
-0.01, -0.00, -7.41
2.46, -2.51, -7.42
2.50, -0.03, -4.93
4.97, -2.47, -4.92
4.91, 0.01, -7.39
-7.39, 2.44, -7.37
-7.34, 4.88, -4.95
-4.87, 2.44, -4.93
-4.92, 4.96, -7.42
-2.50, 2.45, -7.41
-2.48, 4.98, -4.86
0.02, 2.44, -4.92
0.02, 4.91, -7.39
2.48, 2.50, -7.39
2.41, 4.89, -4.94
4.95, 2.49, -4.92
4.95, 4.95, -7.38
-7.41, -7.38, -2.45
-7.35, -4.91, -0.00
-4.92, -7.45, -0.02
-4.90, -4.88, -2.47
-2.50, -7.41, -2.51
-2.42, -4.89, -0.03
0.04, -7.38, -0.01
-0.01, -4.95, -2.49
2.47, -7.37, -2.45
2.41, -4.89, -0.01
4.90, -7.34, 0.01
4.99, -4.96, -2.46
-7.42, -2.42, -2.46
-7.40, -0.00, 0.03
-4.90, -2.45, -0.00
-4.89, 0.06, -2.46
-2.47, -2.51, -2.40
-2.50, 0.00, 0.00
-0.00, -2.46, -0.01
0.01, 0.00, -2.50
2.46, -2.42, -2.41
2.45, -0.00, 0.02
4.97, -2.42, -0.02
4.90, 0.06, -2.51
-7.43, 2.47, -2.49
-7.40, 4.92, -0.01
-4.92, 2.46, 0.02
-4.90, 4.90, -2.44
-2.51, 2.50, -2.52
-2.46, 4.97, 0.02
-0.02, 2.43, -0.04
-0.04, 4.89, -2.38
2.46, 2.38, -2.44
2.52, 4.98, 0.02
4.95, 2.48, -0.02
4.92, 4.90, -2.49
-7.39, -7.41, 2.48
-7.36, -4.93, 4.91
-4.93, -7.44, 4.91
-4.94, -4.90, 2.47
-2.46, -7.36, 2.45
-2.48, -4.91, 4.96
0.01, -7.44, 4.98
0.03, -4.93, 2.48
2.48, -7.41, 2.45
2.41, -4.93, 4.93
4.95, -7.38, 4.90
4.92, -4.93, 2.44
-7.38, -2.48, 2.47
-7.37, -0.02, 4.97
-4.92, -2.47, 4.91
-4.94, 0.01, 2.45
-2.48, -2.42, 2.44
-2.49, -0.01, 4.92
0.04, -2.47, 4.90
-0.02, -0.04, 2.41
2.48, -2.49, 2.46
2.45, 0.06, 4.93
4.88, -2.44, 4.93
4.90, 0.01, 2.49
-7.39, 2.52, 2.50
-7.40, 4.90, 4.93
-4.88, 2.41, 4.92
-4.92, 4.89, 2.41
-2.51, 2.39, 2.50
-2.46, 4.89, 4.91
-0.00, 2.47, 4.97
0.02, 4.91, 2.45
2.45, 2.42, 2.50
2.45, 4.89, 4.92
4.90, 2.47, 4.93
4.96, 5.00, 2.44
 
-7.44, -7.39, -7.40
-7.43, -4.83, -4.90
-4.90, -7.40, -4.87
-4.97, -4.87, -7.36
-2.47, -7.41, -7.38
-2.44, -4.94, -4.94
0.02, -7.42, -4.93
-0.06, -4.89, -7.42
2.50, -7.38, -7.43
2.48, -4.91, -4.96
4.86, -7.44, -4.88
4.89, -4.97, -7.41
-7.44, -2.44, -7.40
-7.39, -0.01, -4.94
-4.94, -2.46, -4.91
-4.88, 0.01, -7.35
-2.40, -2.43, -7.42
-2.44, -0.01, -4.91
0.01, -2.47, -4.88
-0.01, -0.00, -7.42
2.46, -2.51, -7.42
2.51, -0.04, -4.93
4.97, -2.47, -4.92
4.91, 0.01, -7.39
-7.39, 2.44, -7.37
-7.34, 4.88, -4.95
-4.86, 2.43, -4.93
-4.92, 4.96, -7.42
-2.50, 2.45, -7.42
-2.48, 4.98, -4.85
0.03, 2.44, -4.92
0.02, 4.91, -7.39
2.49, 2.50, -7.38
2.40, 4.88, -4.94
4.95, 2.49, -4.92
4.96, 4.95, -7.38
-7.41, -7.38, -2.45
-7.35, -4.91, -0.00
-4.92, -7.46, -0.02
-4.90, -4.87, -2.47
-2.50, -7.42, -2.52
-2.41, -4.88, -0.04
0.05, -7.38, -0.01
-0.01, -4.95, -2.49
2.47, -7.37, -2.45
2.40, -4.89, -0.01
4.89, -7.33, 0.01
5.00, -4.96, -2.46
-7.42, -2.41, -2.46
-7.40, -0.00, 0.03
-4.90, -2.45, -0.00
-4.89, 0.07, -2.46
-2.48, -2.52, -2.40
-2.51, 0.01, 0.00
-0.00, -2.46, -0.02
0.02, 0.00, -2.50
2.46, -2.41, -2.40
2.44, -0.00, 0.02
4.98, -2.42, -0.02
4.89, 0.06, -2.51
-7.44, 2.47, -2.49
-7.40, 4.92, -0.01
-4.92, 2.46, 0.03
-4.90, 4.90, -2.44
-2.51, 2.51, -2.52
-2.46, 4.98, 0.03
-0.02, 2.42, -0.04
-0.04, 4.89, -2.36
2.46, 2.37, -2.44
2.53, 4.98, 0.02
4.96, 2.48, -0.02
4.92, 4.90, -2.49
-7.39, -7.41, 2.48
-7.36, -4.93, 4.91
-4.93, -7.45, 4.90
-4.94, -4.90, 2.47
-2.46, -7.35, 2.45
-2.48, -4.91, 4.97
0.01, -7.44, 4.98
0.04, -4.93, 2.49
2.48, -7.41, 2.45
2.41, -4.93, 4.93
4.95, -7.38, 4.90
4.91, -4.93, 2.44
-7.38, -2.48, 2.48
-7.37, -0.02, 4.98
-4.92, -2.47, 4.91
-4.94, 0.01, 2.45
-2.48, -2.42, 2.44
-2.50, -0.01, 4.92
0.04, -2.47, 4.89
-0.03, -0.04, 2.40
